xh_initial,qh_initial
0.01464572,0.009745533
-0.010168495,-0.007774799
-0.015368935,-0.011078087
-0.0087127,-0.013661202
-0.005967858,-0.001523546
0.011885631,0.006311555
-0.000168439,-0.001447377
0.016863899,0.022018222
0.023613501,0.026473965
0.002979385,-0.000460557
0.001725677,0.000855714
-0.013663277,-0.007694837
0.01463917,0.005766172
0.001859341,0.004810544
0.023683909,0.023740818
0.000166561,-0.000960922
-0.002815052,-0.001603078
-0.003863558,-0.000128452
0.002418044,0.002248201
0.001296162,-0.0052554
-0.018084228,-0.015978352
0.016140482,0.017481831
0.00305835,0.005598456
0.004217283,0.004351443
-0.002010298,-0.005160879
-0.008800359,-0.001921353
-0.001146967,-0.006930185
-0.010489816,-0.00659085
0.00289297,6.50449e-05
-0.032496846,-0.031804878
0.003193758,0.002015316
0.007482109,0.003687316
-0.006349894,-0.001335916
-0.002992284,-0.00622032
0.001897661,0.005451609
-0.007166557,-0.007965727
-0.00051076,-0.001349528
0.001841029,0.000878378
-0.021244397,-0.022412746
-0.035728338,-0.034528002
0.001535488,0.008583077
0.009266705,-0.004396851
0.015155163,0.025571622
0.002943926,-0.006667593
0.014787714,0.012445812
-0.006957106,-0.005524862
-0.003992987,0.003680556
-0.017934796,-0.015290943
-0.009381671,-0.014263631
-0.010638753,-0.00698553
0.015555532,0.016509942
-0.003892237,-0.011228021
0.033387663,0.040137123
-0.000902254,-0.006248283
-0.016686084,-0.013542458
-0.003880385,-0.008265042
0.001773561,0.005296984
-0.004303107,-0.006603906
-0.010823664,-0.006930693
-0.021409847,-0.021364478
-0.007478625,-0.004075098
0.020486175,0.014175069
-0.008272492,-0.004899135
-0.001817786,-0.00448885
-0.011199197,-0.009890909
0.004716426,0.002864698
-0.001485487,7.3244e-05
0.001810154,0.001611249
-0.020014704,-0.024349225
0.003945104,0.01349022
0.030176516,0.022480219
-0.030790217,-0.029290519
-0.006035693,-0.006034868
-0.021936857,-0.023536467
0.010325862,0.01642742
-0.010345429,-0.011177404
-0.008580436,-0.004506225
-0.002642774,-0.013426423
-0.009402057,-0.001477564
-0.001990552,-0.005607477
0.036352023,0.031954887
0.006745414,0.00736187
-0.003312552,0.000753409
0.004962732,0.002559663
-0.028024522,-0.025981828
-0.003522091,-0.003160897
-0.024215278,-0.023820572
-0.005018786,-0.001267628
0.027429542,0.021894336
0.01892365,0.017699115
0.009986935,0.015560641
0.002198631,0.004882079
0.019394313,0.010165184
-0.005060871,-0.003403626
0.000823653,-0.002672804
0.016630028,0.033648478
0.000696473,-0.010658985
0.007087418,0.009390697
-0.009950249,-0.006346459
-0.00312106,-0.005298302
0.008776593,0.002553812
-0.018919557,-0.017103348
-0.001700258,-0.002369493
0.020482375,0.021376086
-0.002007127,-0.00421481
-0.02716528,-0.021090272
-0.003033572,-0.002385567
-0.020856342,-0.021895083
0.001223863,-0.001604401
-8.04693e-05,-0.000918274
-0.009760565,-0.009497549
0.001900147,0.004562326
-0.007319655,-0.009699022
0.001303517,0.004663817
0.013698258,0.006576402
-0.033370774,-0.028439662
0.024624036,0.021756329
-0.010179555,-0.00704607
-0.014046009,-0.011228946
-0.002002863,-0.006545741
0.004725117,0.007065174
-0.001277574,-0.002443639
-0.008530693,-0.007981035
-0.010293753,-0.008204556
-0.022504833,-0.020640912
-0.010095255,-0.008118747
-0.023645661,-0.027532038
0.021078354,0.016578813
-0.002393175,0.004850715
-0.00307833,-0.00948814
-0.015969239,-0.009074868
0.000949079,-0.000339184
0.00761533,0.001017898
-0.009944217,-0.006863825
-0.013130967,-0.009556314
0.001258118,-0.000172295
0.00148618,0.000344649
0.01487436,0.015073213
-0.020032058,-0.021807382
-0.009727026,-0.006332408
0.00624234,0.002880838
0.034039116,0.034470752
0.033260575,0.036098957
-0.004797025,-0.006903273
-0.000160124,0.0
-0.016791091,-0.014474975
-0.020331366,-0.024147374
0.049005606,0.057568027
-0.015610014,-0.018493206
0.019057134,0.019251249
0.014479308,0.011011091
-0.017319665,-0.018522935
0.001438603,0.002753928
-0.014312613,-0.014620355
0.023569467,0.019427822
0.007983944,0.008764876
-0.00070628,-0.0018334
-0.018516004,-0.016051749
0.028597002,0.02929957
0.000391577,-0.001498186
0.001735706,-0.00015794
-0.000647295,-0.000473896
-0.003898135,-0.004504149
0.010903569,0.015478647
-0.005310616,-0.005706246
0.000402197,0.002279874
0.001426832,0.001019688
0.008556663,0.006425325
0.013670511,0.010510744
0.003380199,0.003929424
0.01602296,0.020107444
0.003228828,0.003987361
0.002217145,-0.000374672
-0.01063678,-0.006446777
-0.000303704,-0.004451486
0.01769236,0.017279272
-0.006429272,-0.005885421
-0.015642018,-0.013414269
-0.006886553,-0.007595898
0.012597003,0.009491007
0.010816491,0.010311623
-0.003715798,-0.006529081
0.010047468,0.011028856
-0.028331972,-0.020472206
-0.00750832,-0.008237986
0.014685463,0.010229196
0.002473776,0.00091359
-0.017323128,-0.012626455
0.001292345,0.002079963
-0.001561178,-0.00199877
-0.011924528,-0.009782776
0.000979263,-0.000855698
-0.003247973,-0.001557147
-0.028361221,-0.027994386
-0.012840923,-0.011632571
0.004821703,-0.004220779
0.023597703,0.023557222
0.002785704,0.003663295
-0.009794312,-0.007775926
0.009875158,0.006397441
9.92146e-05,0.001748113
0.019999683,0.020147537
0.003894275,0.005442812
-0.002484063,-0.004640012
-0.012493978,-0.009556367
0.022829559,0.022905554
-0.00148082,0.000996933
0.011856429,0.009882786
-0.007918259,-0.006448187
