month,ID,country,debt_inf,debt_out,eq_inf,eq_out,fdi_inf,fdi_out,other_inf,other_out,port_inf,port_out,中文名称,iso2,GPRC,GPRHC
1995-05-01T00:00:00Z,CAN,Canada,-0.606,-0.198,-0.305,0.129,,,,,-0.911,-0.069,加拿大,CA,0.236217617988586,0.148221343755722
1995-05-01T00:00:00Z,CHL,Chile,,,,,,,,,,,智利,CL,0.0181705858558416,0
1995-05-01T00:00:00Z,CHN,China,,,,,,,,,,,中国,CN,0.28346112370491,0.345849812030792
1995-05-01T00:00:00Z,COL,Colombia,,,,,,,,,,,哥伦比亚,CO,0.0145364683121443,0.00988142285495996
1995-05-01T00:00:00Z,DEU,Germany,7.6613152,2.7039936,1.6797536,0.204848,-0.085904,1.8277728,10.5807296,12.8829568,9.3410693359375,2.90884155273438,德国,DE,0.436094045639038,0.326086968183517
1995-05-01T00:00:00Z,DNK,Denmark,,,,,,,,,,,丹麦,DK,0.0181705858558416,0.00988142285495996
1995-05-01T00:00:00Z,ESP,Spain,,,,,0.7546336,0.4678464,1.6771104,7.83048,6.3859712,-0.2352448,西班牙,ES,0.0799505785107613,0.0889328047633171
1995-05-01T00:00:00Z,FIN,Finland,,,,,,,,,,,芬兰,FI,0.0145364683121443,0.0197628457099199
1995-05-01T00:00:00Z,FRA,France,,,,,,,,,,,法国,FR,0.67957991361618,0.573122501373291
1995-05-01T00:00:00Z,HUN,Hungary,,,,,,,,,,,匈牙利,HU,0.0545117557048798,0.0592885389924049
1995-05-01T00:00:00Z,IDN,Indonesia,,,,,,,,,,,印度尼西亚,ID,0.0472435206174851,0.0592885389924049
1995-05-01T00:00:00Z,IND,India,,,,,0.208,,,,,,印度,IN,0.152632921934128,0.197628453373909
1995-05-01T00:00:00Z,ITA,Italy,,,,,0.3594752,1.3995744,,,,,意大利,IT,0.0981211587786674,0.0296442694962025
1995-05-01T00:00:00Z,JPN,Japan,,,,,,,,,,,日本,JP,0.399752885103226,0.444664031267166
1995-05-01T00:00:00Z,MEX,Mexico,,,,,,,,,,,墨西哥,MX,0.0944870412349701,0.11857707798481
1995-05-01T00:00:00Z,MYS,Malaysia,,,,,,,,,,,马来西亚,MY,0.0472435206174851,0.0790513828396797
1995-05-01T00:00:00Z,NLD,Netherlands,,,,,,,,,,,荷兰,NL,0.138096451759338,0.11857707798481
1995-05-01T00:00:00Z,PHL,Philippines,,,,,,,,,,,菲律宾,PH,0.0654141083359718,0.0395256914198399
1995-05-01T00:00:00Z,POL,Poland,,,,,,,,,,,波兰,PL,0.0944870412349701,0.0889328047633171
1995-05-01T00:00:00Z,PRT,Portugal,,,,,,,,,,,葡萄牙,PT,0.00363411707803607,0
1995-05-01T00:00:00Z,SWE,Sweden,,,,,,,,,,,瑞典,SE,0.0254388190805912,0.0395256914198399
1995-05-01T00:00:00Z,THA,Thailand,,,,,,,,,,,泰国,TH,0.0254388190805912,0.0494071133434773
1995-05-01T00:00:00Z,TUR,Türkiye,-0.525,,0.018,,0.064,0.009,0.116,-0.232,-0.507,-0.054,土耳其,TR,0.105389393866062,0.0790513828396797
1995-05-01T00:00:00Z,UKR,Ukraine,,,,,,,,,,,乌克兰,UA,0.0763164609670639,0.0790513828396797
1995-05-01T00:00:00Z,ZAF,South Africa,0.0267955801104972,,0.244198895027624,,,,,,0.270994476318359,,南非,ZA,0.0981211587786674,0.0889328047633171
1995-06-01T00:00:00Z,BEL,Belgium,,,,,,,,,,,比利时,BE,0.0849994421005249,0.0795544981956482
1995-06-01T00:00:00Z,BRA,Brazil,2.16455,-0.057879978,-0.062105,0.026126978,0.359031,0.106699,1.277641,1.486422178,2.10244506835938,-0.0317530002593994,巴西,BR,0.025869395583868,0.0397772490978241
1995-06-01T00:00:00Z,CAN,Canada,1.586,0.137,-0.848,0.344,,,,,0.738,0.481,加拿大,CA,0.410214722156525,0.308273673057556
1995-06-01T00:00:00Z,CHL,Chile,,,,,,,,,,,智利,CL,0.0184781402349472,0.019888624548912
1995-06-01T00:00:00Z,CHN,China,,,,,,,,,,,中国,CN,0.195868283510208,0.24860779941082
1995-06-01T00:00:00Z,COL,Colombia,,,,,,,,,,,哥伦比亚,CO,0.0295650251209736,0.00994431227445602
1995-06-01T00:00:00Z,DEU,Germany,5.1631692,0.5884788,4.5587136,-0.6896652,0.4020828,4.746441,7.9378068,11.5911684,9.7218828125,-0.101186378479004,德国,DE,0.33260652422905,0.308273673057556
1995-06-01T00:00:00Z,DNK,Denmark,,,,,,,,,,,丹麦,DK,0.0369562804698944,0.0397772490978241
1995-06-01T00:00:00Z,ESP,Spain,,,,,1.2435276,1.5351042,-0.9626022,1.3726734,3.3910758,0.838782,西班牙,ES,0.0960863307118416,0.0795544981956482
1995-06-01T00:00:00Z,FIN,Finland,,,,,,,,,,,芬兰,FI,0.0147825125604868,0.0298329349607229
1995-06-01T00:00:00Z,FRA,France,,,,,,,,,,,法国,FR,0.909124493598938,0.875099420547485
1995-06-01T00:00:00Z,HUN,Hungary,,,,,,,,,,,匈牙利,HU,0.0443475358188152,0.0397772490978241
1995-06-01T00:00:00Z,IDN,Indonesia,,,,,,,,,,,印度尼西亚,ID,0.0073912562802434,0
1995-06-01T00:00:00Z,IND,India,,,,,0.206,,,,,,印度,IN,0.0960863307118416,0.129276052117348
1995-06-01T00:00:00Z,ITA,Italy,,,,,0.8374506,0.545874,,,,,意大利,IT,0.144129499793053,0.198886230587959
1995-06-01T00:00:00Z,JPN,Japan,,,,,,,,,,,日本,JP,0.321519643068314,0.427605420351028
1995-06-01T00:00:00Z,MEX,Mexico,,,,,,,,,,,墨西哥,MX,0.0849994421005249,0.0795544981956482
1995-06-01T00:00:00Z,MYS,Malaysia,,,,,,,,,,,马来西亚,MY,0.0665213018655777,0.129276052117348
1995-06-01T00:00:00Z,NLD,Netherlands,,,,,,,,,,,荷兰,NL,0.177390143275261,0.159108996391296
1995-06-01T00:00:00Z,PHL,Philippines,,,,,,,,,,,菲律宾,PH,0.0332606509327889,0.0397772490978241
1995-06-01T00:00:00Z,POL,Poland,,,,,,,,,,,波兰,PL,0.0443475358188152,0.0397772490978241
1995-06-01T00:00:00Z,PRT,Portugal,,,,,,,,,,,葡萄牙,PT,0.0147825125604868,0.0298329349607229
1995-06-01T00:00:00Z,SWE,Sweden,,,,,,,,,,,瑞典,SE,0.110868841409683,0.0994431152939796
1995-06-01T00:00:00Z,THA,Thailand,,,,,,,,,,,泰国,TH,0.0221737679094076,0.019888624548912
