date,Debt,Equity,Total,country1,name,iso3
2008-09-01,632.114173288533,-1877.0343002191285,-1244.9201269305954,Brazil,Brazil,BRA
2009-04-01,-391.64641925700255,638.8888,247.2423807429974,Brazil,Brazil,BRA
2009-08-01,2556.177552967093,3543.1040000000003,6099.281552967093,Brazil,Brazil,BRA
2009-12-01,-369.57402589280633,3450.7665000000006,3081.1924741071944,Brazil,Brazil,BRA
2009-02-01,-1309.110096216931,-342.67340000000036,-1651.7834962169313,Brazil,Brazil,BRA
2009-01-01,-1131.5475741272785,-542.1960000000004,-1673.7435741272789,Brazil,Brazil,BRA
2009-07-01,1706.4679518179591,6706.376800000001,8412.84475181796,Brazil,Brazil,BRA
2009-06-01,1885.586775742625,-84.86790000000005,1800.718875742625,Brazil,Brazil,BRA
2009-03-01,-369.80967956718223,851.6653,481.8556204328178,Brazil,Brazil,BRA
2009-05-01,1337.7606945477314,2509.3920999999987,3847.15279454773,Brazil,Brazil,BRA
2009-11-01,1505.3282022903416,1904.5256999999992,3409.8539022903406,Brazil,Brazil,BRA
2009-10-01,2675.724784561375,14448.9038,17124.628584561375,Brazil,Brazil,BRA
2009-09-01,2848.5336847824547,3987.3525,6835.886184782455,Brazil,Brazil,BRA
2010-04-01,4031.60468935,3301.6458791500004,7333.250568500001,Brazil,Brazil,BRA
2010-08-01,3796.9847428099997,1796.1107336999992,5593.095476509999,Brazil,Brazil,BRA
2010-12-01,4178.34723021,2029.6862048999983,6208.033435109998,Brazil,Brazil,BRA
2010-02-01,306.89278371999984,1851.3771997200008,2158.2699834400005,Brazil,Brazil,BRA
2010-01-01,3512.4558520100004,1261.2870605899993,4773.7429126,Brazil,Brazil,BRA
2010-07-01,4302.79653929,3199.5285557199995,7502.325095009999,Brazil,Brazil,BRA
2010-06-01,1313.04041572,1636.3224253999995,2949.3628411199998,Brazil,Brazil,BRA
2010-03-01,1541.0959821600004,2157.842635370001,3698.9386175300015,Brazil,Brazil,BRA
2010-05-01,4184.94254286,-474.69800079,3710.2445420699996,Brazil,Brazil,BRA
2010-11-01,154.4910289699998,1972.5334888300001,2127.0245178,Brazil,Brazil,BRA
2010-10-01,2406.42527866,14536.260266299998,16942.685544959997,Brazil,Brazil,BRA
2010-09-01,4247.77146659,4403.386472330001,8651.157938920001,Brazil,Brazil,BRA
2011-04-01,1841.0754529399996,1916.2452351400004,3757.32068808,Brazil,Brazil,BRA
2011-08-01,378.29604562,-72.51003443000005,305.78601118999995,Brazil,Brazil,BRA
2011-12-01,-1447.6774883500002,253.65271564999992,-1194.0247727000003,Brazil,Brazil,BRA
2011-02-01,643.1048450699999,587.0048726800003,1230.10971775,Brazil,Brazil,BRA
2011-01-01,4986.83742985,675.9505024899998,5662.78793234,Brazil,Brazil,BRA
2011-07-01,5075.902306970001,1754.3632443000001,6830.26555127,Brazil,Brazil,BRA
2011-06-01,32.98022658999969,-483.1998742699993,-450.21964767999964,Brazil,Brazil,BRA
2011-03-01,1903.45893954,-514.7665007999996,1388.6924387400004,Brazil,Brazil,BRA
2011-05-01,2062.4964463300003,1683.8548071799999,3746.35125351,Brazil,Brazil,BRA
2011-11-01,3091.6505687300005,538.0747256300004,3629.725294360001,Brazil,Brazil,BRA
2011-10-01,-23.83770490999992,426.7506545000003,402.9129495900004,Brazil,Brazil,BRA
2011-09-01,-1326.02249739,408.52694627000085,-917.495551119999,Brazil,Brazil,BRA
2012-04-01,1368.67768879,-16.9197048799989,1351.7579839100013,Brazil,Brazil,BRA
2012-08-01,1091.3054661600002,1226.1801053600002,2317.48557152,Brazil,Brazil,BRA
2012-12-01,-1441.8183474700004,3259.184615419999,1817.3662679499985,Brazil,Brazil,BRA
2012-02-01,636.9110950600004,768.3634321500008,1405.2745272100012,Brazil,Brazil,BRA
2012-01-01,2795.3386929000003,4294.16813821,7089.50683111,Brazil,Brazil,BRA
2012-07-01,3943.1800074099992,2.5631468999998543,3945.743154309999,Brazil,Brazil,BRA
2012-06-01,1022.9031470900001,146.2811518199993,1169.1842989099994,Brazil,Brazil,BRA
2012-03-01,1444.7036405700003,130.76392916999967,1575.46756974,Brazil,Brazil,BRA
2012-05-01,410.97933149999994,-2424.21202568,-2013.23269418,Brazil,Brazil,BRA
2012-11-01,2464.27023186,-321.27416630000045,2142.9960655599994,Brazil,Brazil,BRA
2012-10-01,1670.73686991,-236.09424440999894,1434.642625500001,Brazil,Brazil,BRA
2012-09-01,2219.53791686,-1227.2470663599993,992.2908505000009,Brazil,Brazil,BRA
