中文名称,country,iso3,iso2,date,Debt,Equity,Total
巴西,Brazil,BRA,BR,1997-07,1936.052,947.425,2883.477
新兴市场,,,,1997-07,4769.585645929039,2882.026884520526,7651.612530449565
印度,India,IND,IN,1997-07,7.13564354690174,274.2045926121182,281.34023615902
韩国,Korea (Republic of),KOR,KR,1997-07,1759.0,1179.2,2938.2
墨西哥,Mexico,MEX,MX,1997-07,452.5,,
南非,South Africa,ZAF,ZA,1997-07,499.8980023821376,392.1972919084081,892.0952942905458
土耳其,Türkiye,TUR,TR,1997-07,115.0,89.0,204.0
巴西,Brazil,BRA,BR,1997-06,209.219,1230.536,1439.755
新兴市场,,,,1997-06,2635.398748684383,3449.092295113404,6084.491043797787
印度,India,IND,IN,1997-06,45.71287511365382,368.4117051768081,414.1245802904619
韩国,Korea (Republic of),KOR,KR,1997-06,1926.9,1242.1,3169.0
墨西哥,Mexico,MEX,MX,1997-06,-131.8,,
南非,South Africa,ZAF,ZA,1997-06,457.3668735707288,608.0445899365957,1065.411463507324
土耳其,Türkiye,TUR,TR,1997-06,128.0,0.0,128.0
巴西,Brazil,BRA,BR,1997-03,337.88,594.699,932.579
新兴市场,,,,1997-03,2104.080101671062,1386.728326476983,3490.808428148046
印度,India,IND,IN,1997-03,8.056124145709349,189.5558622519847,197.611986397694
韩国,Korea (Republic of),KOR,KR,1997-03,1071.5,268.9,1340.4
墨西哥,Mexico,MEX,MX,1997-03,166.1,,
南非,South Africa,ZAF,ZA,1997-03,647.5439775253531,348.5734642249985,996.1174417503516
土耳其,Türkiye,TUR,TR,1997-03,-127.0,-15.0,-142.0
巴西,Brazil,BRA,BR,1997-05,1105.709,1897.082,3002.791
新兴市场,,,,1997-05,2194.328008102692,4080.812927873679,6275.140935976371
印度,India,IND,IN,1997-05,13.29131861887563,199.7048545424338,212.9961731613095
韩国,Korea (Republic of),KOR,KR,1997-05,752.8,1376.2,2129.0
墨西哥,Mexico,MEX,MX,1997-05,-220.0,,
南非,South Africa,ZAF,ZA,1997-05,149.5276894838162,604.8260733312446,754.3537628150609
土耳其,Türkiye,TUR,TR,1997-05,393.0,3.0,396.0
巴西,Brazil,BRA,BR,1997-11,-506.297,-1110.291,-1616.588
新兴市场,,,,1997-11,-1527.030402747996,-2145.408216488484,-3672.43861923648
印度,India,IND,IN,1997-11,-37.22482096153087,-110.8669830372709,-148.0918039988018
韩国,Korea (Republic of),KOR,KR,1997-11,-474.9,-984.1,-1459.0
墨西哥,Mexico,MEX,MX,1997-11,-177.9,,
南非,South Africa,ZAF,ZA,1997-11,52.29141821353498,180.849766548787,233.141184762322
土耳其,Türkiye,TUR,TR,1997-11,-383.0,-121.0,-504.0
巴西,Brazil,BRA,BR,1997-10,-458.095,-520.245,-978.34
新兴市场,,,,1997-10,206.3104283202906,-344.3006617861794,-137.9902334658888
印度,India,IND,IN,1997-10,96.96504648829469,174.8572643049664,271.8223107932611
韩国,Korea (Republic of),KOR,KR,1997-10,1531.5,-759.3,772.2
墨西哥,Mexico,MEX,MX,1997-10,-778.1,,
南非,South Africa,ZAF,ZA,1997-10,-1113.959618168004,805.3870739088542,-308.57254425915
土耳其,Türkiye,TUR,TR,1997-10,928.0,-45.0,883.0
巴西,Brazil,BRA,BR,1997-09,850.0,220.702,1070.702
新兴市场,,,,1997-09,4643.411826763665,389.3736370545297,5032.785463818194
印度,India,IND,IN,1997-09,-8.54038034625062,173.2790996297152,164.7387192834645
韩国,Korea (Republic of),KOR,KR,1997-09,2324.0,-481.6,1842.4
墨西哥,Mexico,MEX,MX,1997-09,64.4,,
南非,South Africa,ZAF,ZA,1997-09,573.5522071099153,499.9925374248147,1073.54474453473
土耳其,Türkiye,TUR,TR,1997-09,840.0,-23.0,817.0
巴西,Brazil,BRA,BR,1998-04,5591.691,604.842,6196.532999999999
新兴市场,,,,1998-04,10712.7477636993,2135.479424420621,12848.22718811992
印度,India,IND,IN,1998-04,-16.36645114563899,-8.44801407363492,-24.81446521927391
韩国,Korea (Republic of),KOR,KR,1998-04,3534.0,158.8,3692.8
墨西哥,Mexico,MEX,MX,1998-04,-269.4,,
南非,South Africa,ZAF,ZA,1998-04,1235.823214844941,1295.285438494256,2531.108653339196
土耳其,Türkiye,TUR,TR,1998-04,637.0,85.0,722.0
巴西,Brazil,BRA,BR,1998-08,403.463,-1779.738,-1376.275
新兴市场,,,,1998-08,-5450.718437598614,-1986.874844568622,-7437.593282167236
印度,India,IND,IN,1998-08,-16.83962363441174,-90.06859807794392,-106.9082217123557
韩国,Korea (Republic of),KOR,KR,1998-08,-1358.3,-106.2,-1464.5
墨西哥,Mexico,MEX,MX,1998-08,-889.5,,
南非,South Africa,ZAF,ZA,1998-08,-1043.541813964203,385.1317535093221,-658.4100604548805
土耳其,Türkiye,TUR,TR,1998-08,-2546.0,-396.0,-2942.0
巴西,Brazil,BRA,BR,1998-12,-709.854,-991.906,-1701.76
新兴市场,,,,1998-12,-2526.388444311848,-77.54249271236012,-2603.930937024208
印度,India,IND,IN,1998-12,-28.76339942022013,78.0888695044048,49.32547008418467
韩国,Korea (Republic of),KOR,KR,1998-12,-1093.4,496.2,-597.2
墨西哥,Mexico,MEX,MX,1998-12,98.7,,
南非,South Africa,ZAF,ZA,1998-12,-681.0710448916276,338.0746377832351,-342.9964071083925
土耳其,Türkiye,TUR,TR,1998-12,-112.0,2.0,-110.0
巴西,Brazil,BRA,BR,1998-02,1021.342,1579.181,2600.523
新兴市场,,,,1998-02,3447.526917966983,3879.197426590263,7326.724344557246
印度,India,IND,IN,1998-02,1.284917966982235,188.78014770903,190.0650656760122
韩国,Korea (Republic of),KOR,KR,1998-02,555.4,1414.7,1970.1
墨西哥,Mexico,MEX,MX,1998-02,369.5,,
南非,South Africa,ZAF,ZA,1998-02,500.0000000000002,631.5362788812325,1131.536278881233
土耳其,Türkiye,TUR,TR,1998-02,1000.0,65.0,1065.0
巴西,Brazil,BRA,BR,1998-01,444.862,657.323,1102.185
新兴市场,,,,1998-01,-165.8769106970973,2188.097422400183,2022.220511703086
印度,India,IND,IN,1998-01,-0.533570475767007,-76.681699803087,-77.215270278854
韩国,Korea (Republic of),KOR,KR,1998-01,-686.3,913.8,227.5
墨西哥,Mexico,MEX,MX,1998-01,-77.6,,
南非,South Africa,ZAF,ZA,1998-01,128.6946597786697,693.6561222032699,822.3507819819396
土耳其,Türkiye,TUR,TR,1998-01,25.0,0.0,25.0
巴西,Brazil,BRA,BR,1998-07,-326.631,1228.414,901.783
新兴市场,,,,1998-07,-2026.024190722191,1837.079401394013,-188.9447893281776
印度,India,IND,IN,1998-07,-2.51702875811212,22.20630979119478,19.68928103308266
韩国,Korea (Republic of),KOR,KR,1998-07,-722.6,-78.7,-801.3000000000001
墨西哥,Mexico,MEX,MX,1998-07,457.5,,
南非,South Africa,ZAF,ZA,1998-07,-869.7761619640786,708.1590916028183,-161.6170703612603
土耳其,Türkiye,TUR,TR,1998-07,-562.0,-43.0,-605.0
巴西,Brazil,BRA,BR,1998-06,1091.771,-296.669,795.102
新兴市场,,,,1998-06,-882.7278074863427,-0.934521668064292,-883.662329154407
印度,India,IND,IN,1998-06,-7.456021897507879,-190.5191119144156,-197.9751338119235
韩国,Korea (Republic of),KOR,KR,1998-06,-1046.1,-253.9,-1300.0
墨西哥,Mexico,MEX,MX,1998-06,-54.1,,
南非,South Africa,ZAF,ZA,1998-06,-737.8427855888349,752.1535902463513,14.31080465751643
土耳其,Türkiye,TUR,TR,1998-06,-129.0,-12.0,-141.0
巴西,Brazil,BRA,BR,1998-03,7214.016,1563.143,8777.159
新兴市场,,,,1998-03,9722.91805130515,3394.718723238781,13117.63677454393
印度,India,IND,IN,1998-03,68.32203956602982,114.823553713046,183.1455932790759
韩国,Korea (Republic of),KOR,KR,1998-03,364.9,425.4,790.3
墨西哥,Mexico,MEX,MX,1998-03,551.8,,
南非,South Africa,ZAF,ZA,1998-03,1405.880011739122,1261.352169525735,2667.232181264857
土耳其,Türkiye,TUR,TR,1998-03,118.0,30.0,148.0
巴西,Brazil,BRA,BR,1998-05,1814.425,600.564,2414.989
新兴市场,,,,1998-05,896.7225452111431,1365.888944587609,2262.611489798752
印度,India,IND,IN,1998-05,-94.27346885495389,-124.6163483471553,-218.8898172021092
韩国,Korea (Republic of),KOR,KR,1998-05,-444.7,79.8,-364.9
墨西哥,Mexico,MEX,MX,1998-05,-141.7,,
南非,South Africa,ZAF,ZA,1998-05,-597.0289859339027,696.1412929347642,99.1123070008615
土耳其,Türkiye,TUR,TR,1998-05,360.0,114.0,474.0
巴西,Brazil,BRA,BR,1998-11,-59.806,325.419,265.613
新兴市场,,,,1998-11,350.2727801277033,1071.902271652339,1422.175051780042
印度,India,IND,IN,1998-11,-60.05596413538049,12.88430507580265,-47.17165905957784
韩国,Korea (Republic of),KOR,KR,1998-11,-163.1,417.6,254.5
墨西哥,Mexico,MEX,MX,1998-11,314.9,,
南非,South Africa,ZAF,ZA,1998-11,186.3347442630838,406.9989665765363,593.3337108396202
土耳其,Türkiye,TUR,TR,1998-11,132.0,-91.0,41.0
巴西,Brazil,BRA,BR,1998-10,4719.775,-267.129,4452.646
新兴市场,,,,1998-10,3025.396679124454,172.2642867283651,3197.660965852819
印度,India,IND,IN,1998-10,-5.927500295194227,-135.3878852284801,-141.3153855236743
韩国,Korea (Republic of),KOR,KR,1998-10,-702.1,399.5,-302.6
墨西哥,Mexico,MEX,MX,1998-10,-86.7,,
南非,South Africa,ZAF,ZA,1998-10,-130.6508205803518,241.2811719568452,110.6303513764934
土耳其,Türkiye,TUR,TR,1998-10,-769.0,-66.0,-835.0
巴西,Brazil,BRA,BR,1998-09,-3617.579,-2228.714,-5846.293
新兴市场,,,,1998-09,-8443.788812922588,-1938.718509783206,-10382.50732270579
印度,India,IND,IN,1998-09,-11.99409890333955,45.22480821788619,33.23070931454664
韩国,Korea (Republic of),KOR,KR,1998-09,-1319.1,-10.8,-1329.9
墨西哥,Mexico,MEX,MX,1998-09,-216.1,,
南非,South Africa,ZAF,ZA,1998-09,-554.0157140192485,461.5706819989073,-92.44503202034127
土耳其,Türkiye,TUR,TR,1998-09,-2725.0,-206.0,-2931.0
巴西,Brazil,BRA,BR,1999-04,2367.105,582.344,2949.449
保加利亚,Bulgaria,BGR,BG,1999-04,-0.5078092238766351,0.6027322576610079,0.09492303378437283
新兴市场,,,,1999-04,3697.252116967918,2787.884420747841,6485.136537715759
印度,India,IND,IN,1999-04,16.21963207414692,206.8997799934471,223.119412067594
韩国,Korea (Republic of),KOR,KR,1999-04,862.5,1643.6,2506.1
墨西哥,Mexico,MEX,MX,1999-04,-215.3,,
南非,South Africa,ZAF,ZA,1999-04,263.2352941176478,361.4379084967331,624.6732026143809
土耳其,Türkiye,TUR,TR,1999-04,404.0,-7.0,397.0
巴西,Brazil,BRA,BR,1999-08,223.042,-227.885,-4.842999999999989
保加利亚,Bulgaria,BGR,BG,1999-08,-5.958147075404471,0.02438327032991208,-5.933763805074558
新兴市场,,,,1999-08,-1469.818983331577,358.0239489219281,-1111.795034409649
印度,India,IND,IN,1999-08,-1.472587665559693,-26.59861470917195,-28.07120237473164
韩国,Korea (Republic of),KOR,KR,1999-08,-1654.2,-245.1,-1899.3
墨西哥,Mexico,MEX,MX,1999-08,-46.8,,
南非,South Africa,ZAF,ZA,1999-08,-384.4302485906126,789.5831803607701,405.1529317701575
土耳其,Türkiye,TUR,TR,1999-08,400.0,68.0,468.0
巴西,Brazil,BRA,BR,1999-12,2490.994,242.755,2733.749
保加利亚,Bulgaria,BGR,BG,1999-12,12.4892754630366,0.9905446070106463,13.47982007004725
新兴市场,,,,1999-12,4202.884605569767,2557.461848141369,6760.346453711136
印度,India,IND,IN,1999-12,9.52057248536156,362.5406406563406,372.0612131417022
韩国,Korea (Republic of),KOR,KR,1999-12,309.3,1369.9,1679.2
墨西哥,Mexico,MEX,MX,1999-12,49.5,,
南非,South Africa,ZAF,ZA,1999-12,134.0807576213684,538.2756628780178,672.3564204993862
土耳其,Türkiye,TUR,TR,1999-12,1197.0,43.0,1240.0
巴西,Brazil,BRA,BR,1999-02,-4976.064,307.782,-4668.282
保加利亚,Bulgaria,BGR,BG,1999-02,6.906754025559102,-2.774981878038011,4.131772147521091
新兴市场,,,,1999-02,-3946.073586974805,916.1294019503703,-3029.944185024435
印度,India,IND,IN,1999-02,-3.485295350521803,79.92630013291215,76.44100478239034
韩国,Korea (Republic of),KOR,KR,1999-02,130.8,325.9,456.7
墨西哥,Mexico,MEX,MX,1999-02,-50.8,,
南非,South Africa,ZAF,ZA,1999-02,525.5689543501579,195.2960836954962,720.865038045654
土耳其,Türkiye,TUR,TR,1999-02,421.0,10.0,431.0
巴西,Brazil,BRA,BR,1999-01,-1851.081,-480.034,-2331.115
保加利亚,Bulgaria,BGR,BG,1999-01,-7.19773375293936,0.0963742020353742,-7.101359550903986
新兴市场,,,,1999-01,-1878.645875341996,1147.169722344142,-731.4761529978532
印度,India,IND,IN,1999-01,1.599698880210782,104.9684765220663,106.5681754022771
韩国,Korea (Republic of),KOR,KR,1999-01,200.9,1177.1,1378.0
墨西哥,Mexico,MEX,MX,1999-01,-230.0,,
南非,South Africa,ZAF,ZA,1999-01,-135.866840469267,323.0388716200408,187.1720311507738
土耳其,Türkiye,TUR,TR,1999-01,143.0,22.0,165.0
巴西,Brazil,BRA,BR,1999-07,-859.701,159.148,-700.553
保加利亚,Bulgaria,BGR,BG,1999-07,3.025618364331157,2.294568384958607,5.320186749289764
新兴市场,,,,1999-07,-1018.22753147671,2370.192805901101,1351.965274424391
印度,India,IND,IN,1999-07,-11.31996053261105,358.6348312413347,347.3148707087236
韩国,Korea (Republic of),KOR,KR,1999-07,-344.8,296.3,-48.5
墨西哥,Mexico,MEX,MX,1999-07,-76.0,,
南非,South Africa,ZAF,ZA,1999-07,530.5678106915703,1511.815406274808,2042.383216966378
土耳其,Türkiye,TUR,TR,1999-07,-260.0,42.0,-218.0
巴西,Brazil,BRA,BR,1999-06,-720.124,127.569,-592.5550000000001
