date,gdp,ca,net_ex,export,import,net_fa,fa_in,fa_out,net_fdi,fdi,ofdi,net_fpi,fpi,ofpi,derivative,reserve,other_net,other_in,other_out,err_ommit
2007-03-31,7377.42432325457,666.244519367797,560.163069716697,2610.34881890698,-2050.18574919029,493.214046355226,9.26449889289501,483.949547462331,255.765859201018,-40.5527498925795,296.318609093598,-126.164091368184,-141.916091368184,15.752,0,-1439.102448,363.612278522392,191.733340153659,171.878938368733,271.129235432793
2007-06-30,8462.09914440598,865.505668658177,770.921361655571,3040.43179528028,-2269.51043362471,573.335356060655,-60.9517458486573,634.287101909313,342.605317884162,-33.5896477335977,376.19496561776,77.9061724189285,-8.54373758107153,86.44991,0,-1281.636165812,152.823865757564,-18.8183605339881,171.642226291552,-163.336034856953
2007-09-30,9213.70698609852,984.786275326583,835.180394740565,3406.92639183551,-2571.74599709495,119.38972779476,-521.560879837465,640.950607632226,322.799550821158,-48.7239902125205,371.523541033678,121.893247023058,97.4079953728659,24.4852516501919,0,-986.989111761,-325.303070049455,-570.24488499781,244.941814948355,-124.559640105853
2007-12-31,10643.6437926182,1015.2903090206,914.095461720717,3522.86095338409,-2608.76549166337,-274.614530100092,-1191.20724738517,916.592717285081,469.774627109792,-48.6816091771876,518.45623628698,90.7944089231409,7.83639892314092,82.95801,0,-899.314297927,-835.183566133025,-1150.36203713113,315.178470998101,149.666341144676
2008-03-31,9767.94874803463,822.042910521757,541.240548435285,3211.31055292876,-2670.07000449348,655.359045989503,-298.492394924428,953.851440913931,267.350998574691,-270.80146412265,538.152462697341,83.5115180280477,50.7411362130841,32.7703818149636,0,-1808.231135,304.496529386765,-78.4320670148617,382.928596401626,322.724209050946
2008-06-30,11360.6377553475,954.728848011532,741.780458389547,3783.94367206533,-3042.16321367578,148.750198532652,-551.443297230638,700.19349576329,258.896049276846,-62.5787347523542,321.4747840292,51.4555620224566,33.2820008161318,18.1735612063248,0,-1127.329792132,-161.601412766651,-522.146563294416,360.545150527765,15.3322295920765
2008-09-30,12052.457211344,1098.06013102467,962.767155127985,4240.91578158453,-3278.14862645654,41.2556611846219,-265.106172890381,306.361834075003,281.00034509978,-129.76979752972,410.770142629501,329.267495271549,304.402563864555,24.8649314069944,0,-1022.025073988,-569.012179186708,-439.738939225215,-129.273239961492,-124.342749220522
2008-12-31,12987.6905956541,1330.85327187749,1242.53716958652,3742.51782281725,-2499.98065323073,-474.617391654915,-176.176803772962,-298.440587881953,340.676343867398,-104.272769892249,444.949113759647,-115.710622882934,-136.446072364333,20.7354494813989,0,-837.80488528,-699.583112639379,64.5420384836202,-764.125151122999,-25.2699552817321
2009-03-31,10822.001170275,673.319144210032,634.288051701719,2600.22526336117,-1965.93721165945,182.672604225522,-120.649587932584,303.322192158106,196.741975820625,-85.03320148,281.775177300625,34.0636443237,27.4250871139,6.6385572098,0,-656.571940709,-48.1330159188034,-63.0414735664844,14.908457647681,-205.460300891154
2009-06-30,12286.6491187803,396.919240080191,388.90918822206,2866.14365434624,-2477.23446612418,869.778752813193,302.246024776469,567.532728036723,149.693081890625,-48.0348987,197.727980590625,36.8922195247769,-80.9981548521001,117.890374376877,0,-1039.50655789837,683.193451397791,431.279078328569,251.914373069222,-234.634798752717
2009-09-30,13155.3858167797,453.501935934482,465.442966896808,3414.48260835754,-2949.03964146073,266.515903474487,-193.713085252768,460.228988727256,162.605708973125,-196.94926997,359.554978943125,153.908539742323,101.2612097467,52.6473299956229,0,-1047.518828927,-49.9983452409608,-98.0250250294686,48.0266797885078,316.321403428931
2009-12-31,14767.9621130749,908.825358971477,712.663806847214,3745.79008413221,-3033.126277285,626.340976453349,-267.896094172261,894.23707062561,362.629907010625,-108.88248485,471.512391860625,46.0092343892128,-72.9451272459999,118.954361635213,0,-1259.841311044,217.701835053511,-86.068482076261,303.770317129772,-290.054585345027
2010-03-31,12818.2617230418,249.954044475312,212.878895929017,3331.9373309617,-3119.05843503268,712.256701682846,-131.9285072581,844.185208940946,438.574083045853,-64.406051721,502.980134766853,21.7697916887158,6.08139073450017,15.6884009542157,0,-959.77603177216,251.912826948278,-73.6038462716,325.516673219878,-13.9520866394685
